genus,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.family,n.order
Albizia,2.5464790894703255,3.183098861837907,9.549296585513721,22.600001919049138,9.549296585513721,114.59155902616465,318.3098861837907,33.717213782402474,32.315197532037516,28391,95.841838357662,0.19178580956418168,2,2,5,8,5,17,25,8.361206015990984,4.179399116439886,28391,49.98560146044359,0.024804101607102585,0.3,0.495,0.495,0.495,0.495,0.5973333333333334,0.758,0.5238487160465962,0,28391,0,0,19749.683389067104,19777.784136193295,20071.8951797363,20172.080443465733,20071.8951797363,20616.568983306905,20771.58551080623,20206.48789693884,219.10287528409054,100,1.0843194344390907,21.910287528409054,8,8,1,1
Alstonia,2.5464790894703255,3.183098861837907,7.321127382227186,13.36901521971921,7.321127382227186,38.197186342054884,181.1183252385769,14.620854818843597,9.755853876478033,22252,66.72560529022236,0.06540045370440224,2,2,4,6,4,12,22,5.85241776020133,2.734349650561834,22252,46.72170994279412,0.018330297890621582,0.382,0.382,0.382,0.382,0.382,0.382,0.64,0.38610444005033256,0,22252,0,0,1210.2536443988547,1216.9434478303797,1231.610010481827,1236.6309272557885,1231.610010481827,1256.9696205336313,1262.7409059611546,1237.4727119674387,11.066317824862983,100,0.8942676244770533,1.1066317824862983,2,2,1,1
Amherstia,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,7.321127382227186,NA,1,NA,NA,5,5,5,5,5,5,5,5,NA,1,NA,NA,0.6563333333333333,0.6563333333333333,0.6563333333333333,0.6563333333333333,0.6563333333333333,0.6563333333333333,0.6563333333333333,0.6563333333333333,NA,1,NA,NA,0.003987244336378306,0.004609666785599401,0.007853564599085035,0.009843679467751675,0.007853564599085035,0.02842628638326814,0.03959310791752594,0.011378636923659048,0.005893653670212943,100,51.79577931657661,5.893653670212943e-4,1,1,1,1
Anacardium,2.5464790894703255,3.183098861837907,7.639437268410976,11.459155902616464,7.639437268410976,36.963735533092695,50.61127190322272,12.894798450506622,7.789666751423897,196,60.409371897688324,0.5564047679588497,2,2,3,5,3,11,13,5.23469387755102,2.301843276574459,196,43.972834523254775,0.16441737689817565,0.4465,0.4465,0.4465,0.4465,0.4465,0.4465,0.4465,0.4465,0,196,0,0,6.627372159897028,6.880808173060542,7.367497906959138,7.624387099514044,7.367497906959138,8.573964159802648,9.691107064860478,7.670755420418281,0.4661261433505079,100,6.076665436493481,0.04661261433505079,1,1,1,1
Annona,2.5464790894703255,3.183098861837907,3.819718634205488,6.366197723675814,3.819718634205488,23.8732414637843,262.92396598781113,7.776689171015668,5.922116965010917,38577,76.15216237628621,0.03015176608057469,2,2,3,4,3,9,24,4.124426471731861,1.8907776856427216,38577,45.84340874062855,0.00962667350623066,0.36,0.55,0.618,0.618,0.618,0.618,0.618,0.6024764496980066,0,38577,0,0,737.4342191872515,741.6711724220689,751.1169942863446,755.8274979170138,751.1169942863446,772.9156867454744,787.1995742818694,756.0561676971618,8.747092595191866,100,1.1569368743904638,0.8747092595191865,3,3,1,1
Anogeissus,2.5464790894703255,3.183098861837907,5.411268065124442,7.639437268410976,5.411268065124442,17.82535362629228,182.07325489712827,8.38329226352436,5.000496029650942,10686,59.64835618827297,0.048373276178738774,2,2,3,4,3,7,21,4.0887142055025265,1.2401752005828537,10686,30.331667567125276,0.011997077316348716,0.74,0.78,0.78,0.78,0.78,0.78,0.78,0.7798016095826316,0,10686,0,0,231.18798642301888,233.96105264182404,240.74514494330217,243.68016146248124,240.74514494330217,261.4118610012246,266.19663141109777,244.924536860576,6.577657805479767,100,2.685585482692621,0.6577657805479766,2,2,1,1
Aphanamixis,2.5464790894703255,2.5464790894703255,6.366197723675814,10.822536130248883,6.366197723675814,34.85493253712508,175.0704374010849,12.875975799204374,10.767695144282603,2381,83.6262455925706,0.22066987732491228,2,2,4,6,4,12,21,6.293994120117597,2.727713675854635,2381,43.338357548444456,0.05590093647366453,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0,2381,0,0,183.1720528422105,185.8469738613723,193.74341733539035,201.10729805326838,193.74341733539035,218.9360539003797,222.38851043423156,201.0922639176393,8.684735484584344,100,4.318781496309238,0.8684735484584344,1,1,1,1
Araucaria,2.5464790894703255,3.183098861837907,4.45633840657307,7.957747154594767,4.45633840657307,33.69310145255407,174.1155077425335,10.626534454339764,8.842099787413014,8047,83.20774590630528,0.09856855982275059,2,2,3,5,3,12,24,5.588666583820057,2.790615073286504,8047,49.933468590982166,0.031108776807187363,0.41700000000000004,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.47554277547977064,0,8047,0,0,344.2660121440951,346.22337228484764,354.12089923597273,358.0963388734831,354.12089923597273,370.5766850304392,372.5631838496403,358.59078372373835,6.508566296532833,100,1.815040037824032,0.6508566296532833,3,3,1,1
Archontophoenix,3.819718634205488,4.138028520389279,5.729577951308232,6.684507609859605,5.729577951308232,35.0140874802169,38.515496228238675,8.479073582360346,6.345786765520259,127,74.84056723746183,0.5630975193751029,2,2,4,4,4,8,9,4.322834645669292,1.3146421431341828,127,30.41157598871424,0.11665562632628676,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0,127,0,0,3.478502185741108,3.5661906462856985,4.050947417297826,4.250631622206681,4.050947417297826,5.48867106036545,5.983095159404722,4.329803821527591,0.4730567753135932,100,10.925593740796664,0.04730567753135932,1,1,1,1
Areca,2.5464790894703255,3.819718634205488,7.002817496043395,9.867606471697512,7.002817496043395,17.82535362629228,144.83099821362475,10.165679887773095,4.79337201132823,15934,47.15249805469008,0.037973334006652926,2,2,4,5,4,12,25,5.719405045813983,2.5080108889730877,15934,43.85090527569287,0.0198685883245076,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0,15934,0,0,436.342479022844,439.1966707879104,449.7673847669348,454.81482838435693,449.7673847669348,468.5234211845818,470.18144216135477,454.56272576760523,7.477482600226428,100,1.6449836681174081,0.7477482600226428,2,2,1,1
