family,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.genus,n.order
Fabaceae,2.5464790894703255,3.183098861837907,4.45633840657307,8.276057040778557,4.45633840657307,31.194368846011486,318.3098861837907,10.265003996248709,8.951768873902695,2587636,87.20667694989766,0.0055648987667535395,2,2,3,5,3,12,25,5.268422220126787,2.4203005963622712,2587636,45.93976137895845,0.0015045884219748974,0.22,0.565,0.6175,0.6833333333333333,0.6175,1.0772,1.21,0.7088093632841638,0,2587636,0,0,140909.51972642314,141674.2399086632,142570.09278821116,143106.97827386844,142570.09278821116,144770.79361701605,146076.91576654027,143144.28236903175,848.5386566687388,100,0.5927855745444109,84.85386566687387,83,83,36,1
Hamamelidaceae,10.822536130248883,10.822536130248883,10.822536130248883,10.822536130248883,10.822536130248883,10.822536130248883,10.822536130248883,10.822536130248883,NA,1,NA,NA,5,5,5,5,5,5,5,5,NA,1,NA,NA,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,NA,1,NA,NA,0.005840075995057947,0.009652282954140464,0.015571510323501278,0.020497126564124554,0.015571510323501278,0.039620974379047325,0.06584423134882064,0.021795137689637006,0.009027624754104593,100,41.4203611955018,9.027624754104593e-4,1,1,1,1
Lamiaceae,2.5464790894703255,3.183098861837907,4.7746482927568605,9.867606471697512,4.7746482927568605,27.05634032562221,182.07325489712827,10.639880428080152,7.253058258956821,25701,68.16860685590952,0.04524245416291415,2,2,3,5,3,11.5,25,5.079335434418894,2.5317381108316375,25701,49.84388496329507,0.015792241195685272,0.42975,0.42975,0.6014444444444444,0.6014444444444444,0.6014444444444444,0.67,0.67,0.6137287042786922,0,25701,0,0,1029.9317736084924,1034.9717053710788,1041.6876179173337,1048.3702029680653,1041.6876179173337,1065.7932042444606,1081.687345318096,1048.6980552142581,9.21229183691178,100,0.8784503595774885,0.9212291836911779,5,5,3,1
Lauraceae,2.5464790894703255,2.5464790894703255,5.092958178940651,8.276057040778557,5.092958178940651,33.072397174495805,82.76057040778558,11.29915886987858,10.846380588234558,378,95.99281427176811,0.5578776199094657,2,2,3,5,3,15,18,5.216931216931217,2.89434262049354,378,55.479792624064814,0.14886892076007097,0.42546666666666666,0.498,0.5486666666666666,0.575,0.5486666666666666,0.575,0.575,0.5611292768959435,0,378,0,0,24.14150360964245,25.487979370854475,27.965751084228344,29.375973981078623,27.965751084228344,34.05243265167113,37.96585036942215,29.525817375009886,2.357399871149143,100,7.984198510773163,0.2357399871149143,5,5,3,1
Lecythidaceae,2.5464790894703255,2.5464790894703255,5.092958178940651,9.549296585513721,5.092958178940651,53.76253977644214,95.4929658551372,13.960860906441553,13.707415724741367,1692,98.18460205714645,0.3332386796912509,2,2,3,5,3,14,20,5.581560283687943,2.9308756944638934,1692,52.50997114604943,0.07125202637572693,0.42225,0.434,0.434,0.434,0.434,0.5246666666666666,0.7313333333333334,0.4431114558707644,0,1692,0,0,146.0508190212068,147.04658547540777,153.36242199944957,156.3951563295945,153.36242199944957,169.85769619396035,175.87930557597355,157.05583193617753,6.098566231710058,100,3.883056207800243,0.6098566231710059,5,5,3,1
Loganiaceae,3.183098861837907,3.2308453447654752,3.660563691113593,4.138028520389279,3.660563691113593,26.515213519109768,27.69296009798979,11.671362493405658,13.883323269866162,3,118.95203561461025,8.015540427103824,2,2.1,3,4,3,7.800000000000001,8,4.666666666666667,3.0550504633038935,3,65.46536707079771,1.763834207376394,0.6898055555555556,0.6898055555555556,0.6898055555555556,0.6898055555555556,0.6898055555555556,0.6898055555555556,0.6898055555555556,0.6898055555555556,0,3,0,0,0.08683776674204643,0.10385447635879115,0.15410810387289184,0.21808316719490234,0.15410810387289184,0.4420812450500733,0.5537878776557067,0.2343641332712977,0.09839804884516914,100,41.98511413487681,0.009839804884516915,1,1,1,1
Lythraceae,2.5464790894703255,2.5464790894703255,3.819718634205488,5.729577951308232,3.819718634205488,19.416903057211233,79.57747154594767,7.132316238559161,4.875326385048423,12880,68.3554433367822,0.04295816916716567,2,2,3,3,3,8,25,3.863276397515528,1.6661361777693076,12880,43.12754269512788,0.014680896031833125,0.379,0.595,0.595,0.6926230158730159,0.595,0.771,0.771,0.6824717474489795,0,12880,0,0,189.73310490955865,192.99551179629617,196.4855284167649,198.45311254846052,196.4855284167649,203.68065623047505,203.92460956373523,198.24152610922368,2.881864206259871,100,1.4537136909812083,0.2881864206259871,8,8,4,1
Magnoliaceae,2.5464790894703255,2.5464790894703255,4.7746482927568605,9.23098669932993,4.7746482927568605,38.197186342054884,117.45634800181877,12.5146121965002,10.203825028920681,15183,81.53528746000018,0.08281027118870488,2,2,3,5,3,13,24,6.028518738062306,3.1586372518942527,15183,52.39491472343844,0.02563427015601973,0.43733333333333335,0.5275,0.5275,0.5275,0.5275,0.5275,0.57,0.5280700125139959,0,15183,0,0,1066.9631446438825,1071.2890656585091,1083.1768951089998,1089.1973846512308,1083.1768951089998,1104.8948880018058,1111.1302137925502,1088.6892157333523,8.972916125273944,100,0.8241944528888986,0.8972916125273944,3,3,2,1
Malpighiaceae,3.183098861837907,3.183098861837907,3.183098861837907,4.297183463481174,3.183098861837907,17.705987418973358,19.098593171027442,7.082394967589343,5.650080537013559,8,79.77641126864032,1.9976051309862086,2,2.175,3.75,4,3.75,5.825,6,4.125,1.246423454758225,8,30.21632617595697,0.4406772385447523,0.6827354166666666,0.6827354166666666,0.6827354166666666,0.6827354166666666,0.6827354166666666,0.6827354166666666,0.6827354166666666,0.6827354166666666,0,8,0,0,0.05886933815430531,0.07370853140445749,0.10270386101892173,0.12371156359022978,0.10270386101892173,0.2517478786660574,0.3961444603667737,0.1322188689007761,0.046762681741110604,100,35.367631057412645,0.0046762681741110606,1,1,1,1
Malvaceae,2.5464790894703255,3.183098861837907,4.7746482927568605,9.549296585513721,4.7746482927568605,47.10986315520102,213.26762374313975,13.384201673405283,12.86531194340898,21023,96.12311781712502,0.08873050960352558,2,2,3,5,3,14,24,5.850164105979165,3.2026652703162957,21023,54.74487915720191,0.02208839729457652,0.255,0.3052121212121212,0.3135,0.5580625,0.3135,0.6266666666666667,0.68,0.4861235652679384,0,21023,0,0,1630.8711777419346,1640.6351609399348,1670.2786272083513,1680.0820522556878,1670.2786272083513,1713.9577616988722,1723.6839881749536,1679.9063459082736,17.659125886598517,100,1.0511970461693072,1.7659125886598517,25,25,21,2
